user_id;app_name;age;gender;country;urban_rural;income_level;employment_status;education_level;relationship_status;has_children;exercise_hours_per_week;sleep_hours_per_night;diet_quality;smoking;alcohol_frequency;perceived_stress_score;self_reported_happiness;body_mass_index;blood_pressure_systolic;blood_pressure_diastolic;daily_steps_count;weekly_work_hours;hobbies_count;social_events_per_month;books_read_per_year;volunteer_hours_per_month;travel_frequency_per_year;daily_active_minutes_instagram;sessions_per_day;posts_created_per_week;reels_watched_per_day;stories_viewed_per_day;likes_given_per_day;comments_written_per_day;dms_sent_per_week;dms_received_per_week;ads_viewed_per_day;ads_clicked_per_day;time_on_feed_per_day;time_on_explore_per_day;time_on_messages_per_day;time_on_reels_per_day;followers_count;following_count;uses_premium_features;notification_response_rate;account_creation_year;last_login_date;average_session_length_minutes;content_type_preference;preferred_content_theme;privacy_setting_level;two_factor_auth_enabled;biometric_login_used;linked_accounts_count;subscription_status;user_engagement_score
658473;Instagram;58;Non-binary;India;Urban;Upper-middle;Full-time employed;Masters;Married;No;92;67;Average;No;Rarely;2;5;244;100;85;7793;255;2;2;12;60;1;140;1;2;47;31;36;6;11;8;10;0;8;3;1;4;1308;617;No;53;2016;21/04/2025;140;Stories;Food;Public;Yes;No;1;Premium;36
700378;Instagram;62;Male;India;Urban;Low;Freelancer;Bachelors;Single;Yes;18;70;Excellent;Former;Weekly;28;8;252;99;85;7995;437;7;3;6;70;2;2850;29;9;222;149;152;51;38;38;31;7;147;80;69;88;2208;2920;No;15;2010;10/07/2025;98;Videos;Art;Private;Yes;Yes;1;Business;98
880384;Instagram;15;Male;United States;Urban;Low;Full-time employed;PhD;Single;Yes;95;73;Poor;Yes;Never;31;2;199;152;84;7992;642;2;3;11;29;1;3050;13;13;296;135;195;55;38;53;27;9;166;49;49;106;4003;7919;Yes;32;2022;31/08/2025;235;Live;Tech;Friends only;No;Yes;2;Free;112
677182;Instagram;53;Female;United Kingdom;Suburban;Lower-middle;Full-time employed;PhD;In a relationship;Yes;87;64;Excellent;No;Never;29;3;265;133;76;8011;466;1;3;8;22;6;2690;29;8;206;134;139;57;38;51;18;12;126;69;34;77;816;354;No;0;2019;31/12/2025;93;Stories;Travel;Public;No;No;0;Business;103
18942;Instagram;64;Male;Japan;Urban;Middle;Unemployed;Some college;Single;No;109;72;Poor;No;Rarely;23;3;164;94;89;7921;466;6;4;13;25;3;2300;7;7;176;110;145;40;36;33;28;9;97;32;57;78;2633;3337;No;74;2025;19/03/2025;329;Reels;Food;Private;Yes;Yes;5;Free;106
735694;Instagram;27;Female;Canada;Rural;Middle;Full-time employed;Bachelors;Married;No;26;72;Good;No;Never;38;3;231;91;79;8082;271;1;4;4;58;6;3670;11;5;300;150;199;68;43;58;39;9;150;68;85;100;1420;1935;Yes;91;2011;14/05/2025;334;Photos;Fashion;Public;Yes;Yes;1;Free;95
1034301;Instagram;55;Male;United States;Urban;Middle;Full-time employed;Some college;Single;Yes;159;80;Excellent;No;Never;10;5;284;106;77;8001;429;0;3;12;81;5;1100;4;5;96;81;78;18;23;21;11;2;60;20;12;42;923;1913;No;72;2010;10/09/2025;275;Mixed;Art;Friends only;Yes;Yes;1;Free;116
389059;Instagram;15;Male;Brazil;Urban;Lower-middle;Freelancer;Some college;Married;No;77;76;Poor;No;Daily;36;6;277;105;78;8021;438;2;5;7;42;2;3630;14;12;300;150;193;62;50;43;46;6;202;54;77;102;273;675;No;5;2025;04/06/2025;259;Photos;Music;Friends only;Yes;Yes;2;Free;97
473203;Instagram;45;Female;Germany;Rural;High;Full-time employed;Masters;Single;Yes;12;52;Average;No;Rarely;10;9;225;105;91;8086;444;3;8;11;21;6;620;2;2;89;49;56;6;16;11;10;0;33;14;13;19;821;849;No;78;2013;29/08/2025;310;Live;Fitness;Friends only;Yes;No;3;Free;117
677892;Instagram;39;Female;Australia;Suburban;Lower-middle;Part-time;Bachelors;In a relationship;No;46;56;Poor;No;Never;11;5;279;98;80;7772;520;3;3;4;37;1;730;2;5;92;55;68;18;16;20;11;3;29;15;18;18;376;182;No;85;2012;16/12/2025;365;Reels;Travel;Public;Yes;No;0;Free;161
826124;Instagram;21;Female;United States;Urban;High;Freelancer;Bachelors;Divorced;Yes;51;89;Poor;Former;Several times a week;23;7;170;123;62;7977;329;3;5;7;43;3;2440;7;14;229;133;152;48;23;26;27;5;106;58;57;68;3040;7030;Yes;55;2013;26/06/2025;349;Stories;Food;Public;Yes;Yes;4;Free;118
754088;Instagram;53;Female;United States;Rural;Middle;Full-time employed;Bachelors;In a relationship;No;24;57;Average;No;Weekly;35;2;253;128;85;7976;402;4;0;11;21;3;3570;10;6;237;150;207;70;47;58;43;7;187;105;72;138;1193;1753;Yes;68;2019;11/05/2025;357;Reels;Food;Friends only;No;Yes;3;Free;102
560345;Instagram;34;Male;Canada;Urban;Low;Full-time employed;Bachelors;Divorced;No;59;60;Average;Yes;Daily;35;1;336;118;85;8132;519;4;4;14;39;4;4060;18;9;299;150;243;69;57;58;50;8;211;96;89;153;1331;1545;Yes;64;2016;10/08/2025;226;Stories;Fashion;Friends only;No;No;2;Free;10
766732;Instagram;48;Female;United States;Suburban;Lower-middle;Retired;High school;In a relationship;No;12;72;Excellent;No;Rarely;6;5;201;95;81;8066;352;1;5;18;31;3;190;1;5;54;40;40;5;8;8;7;3;9;3;4;7;861;1025;No;0;2025;24/06/2025;190;Stories;Food;Friends only;No;No;5;Free;325
499946;Instagram;20;Male;Other;Urban;Upper-middle;Full-time employed;Other;Married;Yes;35;68;Average;No;Never;38;4;208;144;65;7977;458;2;4;10;45;1;3870;13;15;300;150;241;57;53;51;37;7;201;44;67;121;1361;1989;No;72;2025;12/01/2025;298;Stories;Music;Friends only;Yes;Yes;3;Free;103
600886;Instagram;50;Male;Other;Suburban;Low;Student;Bachelors;Single;No;121;48;Poor;No;Daily;7;8;266;148;96;8103;193;6;5;7;78;6;800;5;5;73;63;55;15;17;14;12;2;47;14;11;16;1111;734;No;85;2017;10/12/2025;160;Stories;Food;Public;Yes;No;1;Free;123
579261;Instagram;45;Female;United Kingdom;Urban;High;Student;Masters;Married;Yes;15;81;Poor;Yes;Weekly;0;6;257;132;90;7989;394;2;7;9;56;4;660;7;3;84;64;44;21;17;19;7;1;39;11;11;18;4221;2624;No;28;2013;22/09/2025;94;Live;Tech;Friends only;Yes;No;1;Premium;142
285912;Instagram;60;Female;Other;Urban;Upper-middle;Student;Bachelors;Married;No;10;64;Good;No;Weekly;39;2;276;150;74;7839;408;3;9;9;17;1;3840;11;10;274;150;219;62;46;55;37;11;223;94;83;107;243;247;No;52;2020;17/12/2025;349;Videos;Art;Public;No;Yes;1;Free;97
719029;Instagram;36;Male;Brazil;Urban;Upper-middle;Student;Bachelors;In a relationship;No;56;64;Excellent;No;Never;30;9;167;114;84;7958;592;4;6;12;33;3;1270;8;2;123;100;79;22;21;28;16;1;73;28;24;35;590;757;No;35;2024;24/07/2025;159;Videos;Fitness;Public;Yes;Yes;2;Free;101
100305;Instagram;15;Male;India;Suburban;Upper-middle;Part-time;Bachelors;Married;No;118;68;Good;Yes;Weekly;6;2;352;158;62;8032;507;1;10;9;27;8;1720;6;12;206;109;110;34;29;30;16;2;82;36;38;64;1284;851;No;1;2018;26/08/2025;287;Photos;Fashion;Public;No;Yes;3;Free;124
584329;Instagram;18;Female;United States;Suburban;Low;Full-time employed;High school;In a relationship;No;112;56;Average;Yes;Rarely;28;7;219;125;92;8158;608;2;6;10;53;3;2380;11;8;264;124;137;46;37;22;25;6;109;52;26;53;2826;6057;Yes;67;2024;03/10/2025;216;Mixed;Fitness;Public;No;Yes;0;Business;106
726041;Instagram;21;Male;United States;Urban;Lower-middle;Student;Bachelors;Married;No;5;70;Good;No;Never;21;8;213;150;71;8006;381;2;10;7;2;3;1530;11;10;220;97;90;29;21;25;21;3;73;21;16;39;5672;5481;No;64;2013;06/04/2025;139;Photos;Tech;Private;Yes;Yes;1;Free;116
103642;Instagram;57;Female;Other;Rural;Low;Student;Bachelors;In a relationship;No;41;78;Good;Former;Never;23;6;186;159;61;7916;423;5;7;10;44;5;2830;12;5;239;150;172;40;41;37;23;5;168;64;70;64;1467;889;No;49;2023;09/01/2025;236;Live;Art;Public;Yes;No;0;Free;94
672318;Instagram;63;Female;Other;Suburban;Low;Full-time employed;Bachelors;Single;No;124;76;Good;No;Rarely;38;8;265;111;74;7865;273;5;4;8;9;5;3150;12;6;244;150;185;48;59;41;37;7;150;61;57;82;2410;2140;No;42;2014;17/06/2025;262;Stories;Food;Private;No;Yes;2;Free;95
56809;Instagram;42;Female;United States;Suburban;Low;Freelancer;Bachelors;Single;Yes;104;70;Average;No;Several times a week;33;2;260;97;86;7997;422;1;1;9;61;3;4170;42;5;284;150;205;45;34;50;33;10;177;62;91;132;685;1461;Yes;74;2018;08/10/2025;99;Mixed;Fashion;Friends only;Yes;Yes;3;Free;74
147814;Instagram;39;Female;Canada;Urban;Middle;Full-time employed;High school;Married;Yes;181;73;Average;Former;Never;32;9;308;156;95;7970;463;10;3;13;27;5;2870;11;5;217;124;161;49;40;48;21;10;121;41;69;73;3759;4396;No;59;2011;28/08/2025;261;Reels;Art;Friends only;Yes;No;0;Business;95
496442;Instagram;34;Male;Other;Rural;Upper-middle;Student;Masters;In a relationship;Yes;78;53;Good;No;Never;33;2;242;158;98;7919;473;3;2;8;35;1;3500;11;4;259;150;205;58;50;45;33;13;168;52;44;82;89;122;No;52;2023;26/04/2025;318;Reels;Art;Private;Yes;No;3;Free;95
779991;Instagram;33;Male;India;Rural;Lower-middle;Full-time employed;Some college;Married;No;108;61;Poor;No;Rarely;13;9;242;104;85;8046;439;2;4;9;17;2;670;5;3;67;64;56;18;9;19;10;1;40;16;16;18;1124;1512;No;41;2022;05/07/2025;134;Live;Food;Friends only;Yes;No;3;Free;149
447423;Instagram;13;Female;India;Urban;High;Full-time employed;Some college;In a relationship;No;70;63;Poor;No;Rarely;21;3;186;119;95;8019;433;0;2;12;13;3;2630;8;9;289;122;148;42;39;50;31;10;137;75;61;68;3460;5550;No;5;2023;07/12/2025;329;Videos;Music;Friends only;Yes;Yes;1;Free;98
217274;Instagram;63;Male;India;Urban;Upper-middle;Student;Bachelors;Single;No;14;68;Good;Former;Rarely;27;5;207;108;66;8045;508;3;4;15;71;2;2430;11;4;174;120;139;39;42;33;20;6;113;42;55;51;248;598;No;89;2015;27/06/2025;221;Photos;Fitness;Public;Yes;No;1;Free;94
84913;Instagram;29;Male;India;Suburban;Middle;Unemployed;Bachelors;Single;Yes;55;74;Good;No;Never;8;10;267;123;75;7948;493;4;2;11;30;6;740;3;0;145;60;50;15;27;19;12;0;38;18;11;24;327;491;No;26;2012;13/02/2025;247;Mixed;Fitness;Public;No;Yes;0;Free;107
541950;Instagram;31;Male;Canada;Urban;Low;Unemployed;Bachelors;In a relationship;No;72;94;Average;No;Rarely;12;8;281;94;63;8155;55;5;3;16;47;2;1720;7;2;146;94;99;38;32;29;20;3;92;43;18;48;1179;2943;Yes;29;2020;25/06/2025;246;Photos;Tech;Public;Yes;No;3;Free;105
548122;Instagram;36;Female;United Kingdom;Rural;Low;Student;Other;Married;Yes;60;59;Excellent;No;Several times a week;39;1;276;156;88;8001;444;4;3;14;31;3;3920;25;2;262;150;222;58;62;71;33;16;180;78;85;150;1839;1084;No;96;2016;10/08/2025;157;Videos;Art;Public;Yes;No;1;Free;88
637415;Instagram;17;Female;Other;Suburban;Upper-middle;Part-time;Other;Single;No;74;83;Average;No;Never;40;7;260;109;62;7970;348;3;3;9;92;3;3580;12;12;300;150;198;43;42;52;31;3;177;47;40;112;1058;2396;Yes;15;2017;01/08/2025;298;Videos;Art;Private;No;Yes;0;Premium;89
556302;Instagram;19;Male;Brazil;Urban;Lower-middle;Full-time employed;Masters;Married;Yes;70;57;Average;Yes;Never;30;3;331;102;71;7951;335;2;4;7;123;1;3470;11;10;300;150;216;50;36;46;31;9;187;66;69;135;116;168;Yes;67;2019;30/04/2025;315;Stories;Tech;Public;No;No;3;Free;99
382416;Instagram;25;Male;Australia;Urban;Middle;Unemployed;Bachelors;Married;No;29;74;Good;No;Rarely;15;10;218;92;78;7956;345;3;5;13;23;5;1040;4;6;164;86;65;19;24;15;11;3;44;21;21;40;380;590;Yes;19;2016;11/02/2025;260;Stories;Other;Public;Yes;Yes;2;Free;115
715068;Instagram;36;Male;Japan;Suburban;Low;Part-time;High school;Married;Yes;79;69;Average;Former;Several times a week;37;1;221;114;69;7897;472;4;2;10;60;0;4770;29;12;300;150;288;80;56;77;37;12;224;82;101;185;646;391;No;85;2012;14/02/2025;164;Stories;Food;Private;Yes;No;4;Free;101
817045;Instagram;34;Male;United Kingdom;Rural;Middle;Student;Bachelors;Married;Yes;39;81;Excellent;Yes;Weekly;35;5;276;154;85;7942;578;4;3;9;42;3;2210;7;3;186;120;126;35;27;34;25;4;101;65;52;81;3440;4935;No;8;2023;30/12/2025;316;Stories;Art;Friends only;No;No;4;Free;92
872592;Instagram;50;Male;South Korea;Urban;Middle;Full-time employed;Masters;Single;No;70;77;Good;No;Never;8;6;296;133;68;8042;380;2;5;17;3;4;650;2;0;83;55;59;16;23;18;11;2;31;15;16;22;1801;1249;No;49;2013;29/12/2025;325;Mixed;Tech;Friends only;No;Yes;5;Free;138
367155;Instagram;17;Male;United States;Urban;High;Unemployed;Some college;Single;No;113;73;Average;No;Weekly;15;3;213;91;82;8114;296;5;3;8;4;6;2090;11;7;257;103;114;42;36;37;20;5;96;29;39;50;1352;1988;No;61;2015;11/07/2025;190;Reels;Tech;Public;Yes;No;2;Free;104
122013;Instagram;34;Female;United States;Suburban;Lower-middle;Student;Other;Single;No;44;81;Average;No;Rarely;36;4;233;138;86;8085;239;4;2;7;36;3;3370;17;2;251;150;164;60;41;33;31;10;135;100;48;99;3034;1578;No;9;2022;29/05/2025;198;Videos;Other;Private;Yes;No;4;Free;86
163673;Instagram;14;Male;United States;Suburban;Lower-middle;Student;High school;Single;No;56;71;Good;No;Weekly;21;6;234;97;62;8035;530;2;5;6;59;4;2100;6;14;245;117;108;52;27;35;22;3;89;38;35;74;76;89;No;56;2016;21/10/2025;350;Videos;Music;Public;Yes;No;5;Free;12
356204;Instagram;35;Female;United States;Urban;Lower-middle;Full-time employed;High school;Single;No;106;64;Good;No;Never;16;8;250;94;99;7821;352;5;2;9;34;6;1470;6;6;132;97;98;30;26;26;17;4;85;31;28;31;1563;3559;No;21;2014;18/08/2025;245;Photos;Fitness;Private;Yes;Yes;3;Free;119
737924;Instagram;18;Male;Germany;Rural;Upper-middle;Full-time employed;Other;In a relationship;Yes;11;75;Average;No;Several times a week;20;3;201;123;75;8087;207;3;4;6;35;3;2530;9;13;278;141;174;32;44;36;26;7;142;56;49;77;837;1260;Yes;21;2017;31/03/2025;281;Mixed;Other;Friends only;Yes;No;1;Premium;109
293590;Instagram;42;Female;Other;Urban;Middle;Full-time employed;Some college;In a relationship;No;51;55;Good;No;Weekly;28;3;309;126;88;7956;406;1;5;8;59;2;2620;15;6;173;137;168;50;33;39;25;9;137;54;27;100;1109;1575;No;26;2023;24/12/2025;175;Reels;Tech;Public;No;Yes;2;Premium;109
104944;Instagram;65;Male;India;Urban;Lower-middle;Full-time employed;Masters;In a relationship;No;40;76;Average;Former;Rarely;0;6;278;143;63;8171;552;2;5;10;54;4;50;1;4;43;24;17;3;8;4;2;1;2;1;1;2;1748;2535;No;92;2013;01/09/2025;50;Videos;Music;Friends only;Yes;No;4;Free;583
576984;Instagram;61;Female;India;Suburban;Middle;Freelancer;High school;Single;Yes;15;68;Good;No;Daily;27;7;252;101;68;8048;446;2;2;11;48;4;1280;5;2;128;79;86;32;25;16;9;1;64;36;19;39;952;969;No;37;2018;24/12/2025;256;Photos;Travel;Friends only;No;Yes;2;Free;121
144206;Instagram;14;Male;India;Urban;Low;Full-time employed;High school;Married;Yes;58;73;Very poor;No;Rarely;32;7;298;146;67;7931;629;2;3;6;24;4;3210;10;15;300;150;163;52;43;38;36;6;176;70;63;113;1548;2371;No;4;2015;12/11/2025;321;Stories;Tech;Public;No;No;4;Free;97
320201;Instagram;65;Female;Other;Urban;Low;Full-time employed;Bachelors;Single;No;143;67;Average;No;Weekly;38;2;251;102;69;7997;261;3;3;14;40;2;3780;24;6;273;150;217;69;45;46;31;7;188;108;52;136;1502;3458;Yes;8;2011;06/02/2025;158;Videos;Art;Public;No;No;4;Business;98
137688;Instagram;25;Male;Canada;Suburban;Low;Retired;High school;Divorced;No;34;65;Good;Yes;Rarely;19;5;199;153;85;8009;547;0;4;9;53;3;1560;7;4;219;81;105;32;33;22;13;4;92;39;32;34;2029;1788;No;23;2021;31/03/2025;223;Stories;Other;Friends only;No;No;2;Business;115
824543;Instagram;41;Female;Canada;Suburban;Middle;Full-time employed;Bachelors;Married;Yes;89;61;Good;No;Rarely;19;4;286;122;88;7943;557;2;8;12;19;2;1140;4;7;119;69;83;19;26;20;11;2;47;28;13;30;670;1323;Yes;67;2011;19/02/2025;285;Stories;Other;Public;Yes;No;1;Free;123
951720;Instagram;45;Male;Brazil;Urban;Middle;Full-time employed;Masters;Married;No;145;70;Good;No;Weekly;19;5;257;99;68;7832;361;6;2;9;5;5;1630;7;4;138;94;94;34;27;33;16;3;79;24;35;55;596;701;No;16;2020;18/07/2025;233;Stories;Fitness;Private;No;Yes;0;Free;106
340463;Instagram;54;Female;India;Rural;Low;Student;High school;Married;No;122;80;Excellent;Former;Rarely;33;7;259;155;87;8002;347;5;3;8;3;5;2590;17;6;202;132;155;38;39;36;26;5;141;46;51;59;549;282;No;49;2018;21/02/2025;152;Mixed;Fashion;Private;Yes;No;5;Free;96
663704;Instagram;24;Female;Brazil;Urban;Upper-middle;Full-time employed;Bachelors;Married;No;73;86;Poor;No;Rarely;14;4;234;153;90;7840;378;2;5;12;44;4;1990;8;5;254;103;133;38;25;26;22;4;107;37;40;55;797;1891;No;26;2022;09/11/2025;249;Photos;Other;Friends only;Yes;Yes;1;Free;112
357686;Instagram;54;Male;Japan;Urban;Lower-middle;Full-time employed;High school;Married;Yes;88;63;Very poor;Former;Rarely;13;10;232;140;76;7871;385;2;3;11;2;4;650;6;1;83;55;54;12;17;17;17;1;37;8;9;18;1250;1509;No;54;2016;24/08/2025;108;Mixed;Music;Public;No;No;1;Free;123
1013255;Instagram;27;Female;United Kingdom;Urban;Upper-middle;Full-time employed;High school;Married;Yes;24;55;Excellent;Former;Rarely;16;9;218;140;81;8187;243;2;4;13;22;4;1130;5;2;202;76;75;26;19;19;15;1;51;12;18;32;3748;3186;No;21;2012;13/12/2025;226;Videos;Fitness;Friends only;Yes;No;3;Free;117
220826;Instagram;16;Female;Japan;Suburban;Low;Part-time;Some college;Divorced;No;69;91;Poor;Yes;Rarely;30;5;272;101;77;7990;521;0;2;8;34;1;2170;8;14;256;111;118;47;39;44;28;7;92;46;24;68;2586;2508;No;14;2019;17/01/2025;271;Photos;Other;Friends only;Yes;No;2;Free;117
797825;Instagram;48;Male;United Kingdom;Urban;Middle;Student;Bachelors;In a relationship;No;32;74;Good;Yes;Never;28;3;247;111;86;7944;544;2;4;12;29;2;2900;13;9;204;144;169;58;36;48;20;6;173;51;66;98;3024;2695;Yes;19;2016;27/02/2025;223;Videos;Fashion;Friends only;Yes;No;2;Free;107
502936;Instagram;25;Female;Brazil;Urban;High;Full-time employed;Some college;Married;No;52;58;Very poor;No;Daily;28;1;234;136;67;7994;428;1;4;7;28;4;2870;11;7;300;142;161;49;39;38;26;5;120;80;54;69;3460;2047;No;83;2015;25/12/2025;261;Videos;Other;Public;No;Yes;2;Premium;97
474763;Instagram;59;Male;United States;Rural;High;Retired;High school;Married;Yes;43;63;Excellent;No;Weekly;29;10;224;107;96;8161;397;5;5;10;47;2;1750;6;4;137;88;113;30;21;25;23;4;101;39;32;42;655;1126;Yes;64;2021;03/03/2025;292;Stories;Tech;Friends only;Yes;No;2;Free;105
152215;Instagram;21;Female;United States;Urban;Middle;Full-time employed;Other;In a relationship;No;115;76;Poor;No;Never;0;10;284;101;78;7907;345;3;4;15;28;2;50;1;7;129;28;31;8;14;7;4;3;2;1;1;2;277;675;No;87;2015;09/06/2025;50;Photos;Art;Public;No;Yes;2;Free;1133
29381;Instagram;31;Male;Other;Urban;Low;Student;Masters;Married;No;56;52;Very poor;No;Rarely;15;8;300;144;90;8042;268;5;5;7;32;3;1810;5;3;171;125;107;35;24;28;22;5;73;46;30;49;633;1081;No;2;2020;10/06/2025;362;Photos;Fashion;Friends only;Yes;No;1;Free;102
701436;Instagram;25;Female;United States;Rural;Lower-middle;Full-time employed;High school;In a relationship;No;93;54;Excellent;No;Never;14;9;325;120;80;8083;260;3;1;11;19;3;1100;10;1;159;67;78;18;17;22;17;3;53;27;26;34;6197;10000;No;6;2018;31/05/2025;110;Reels;Other;Public;Yes;No;2;Free;105
106642;Instagram;62;Male;Canada;Urban;Middle;Unemployed;Masters;Married;Yes;56;73;Good;No;Never;24;8;231;133;69;8170;414;7;4;6;75;7;1070;4;1;114;77;80;26;24;23;13;5;63;32;12;41;928;2050;No;97;2023;16/11/2025;268;Mixed;Travel;Public;Yes;No;1;Free;125
224788;Instagram;45;Female;United States;Urban;Middle;Full-time employed;High school;Married;No;144;76;Average;No;Rarely;2;4;274;104;72;7869;411;0;2;10;43;5;300;2;3;80;36;28;8;11;11;6;2;15;3;4;6;294;357;No;57;2010;01/01/2025;150;Stories;Fashion;Friends only;Yes;Yes;2;Premium;171
176541;Instagram;42;Female;Other;Rural;Lower-middle;Full-time employed;Masters;In a relationship;No;37;56;Average;Yes;Weekly;32;9;251;91;92;8205;356;4;4;12;69;1;2790;9;9;201;150;182;49;36;42;23;1;149;74;55;108;8082;10000;No;24;2010;25/02/2025;310;Stories;Food;Friends only;Yes;No;3;Free;11
351024;Instagram;55;Male;India;Urban;Middle;Full-time employed;High school;Divorced;Yes;126;77;Good;No;Rarely;17;8;257;144;82;7942;389;0;4;9;16;4;880;7;3;87;77;70;23;16;23;12;1;49;25;16;27;2781;5987;No;55;2024;21/11/2025;126;Live;Fitness;Friends only;No;Yes;4;Free;14
505271;Instagram;64;Male;United Kingdom;Suburban;Middle;Student;High school;In a relationship;Yes;96;93;Very poor;No;Rarely;12;4;262;122;84;8090;525;4;5;12;47;0;1150;12;3;124;72;98;31;23;23;15;2;64;25;19;26;577;307;No;8;2025;01/10/2025;96;Live;Travel;Friends only;Yes;Yes;1;Free;146
822187;Instagram;30;Female;Other;Urban;Middle;Full-time employed;High school;In a relationship;Yes;16;68;Excellent;Former;Several times a week;12;5;192;123;89;8008;385;0;2;7;18;6;1150;4;2;113;60;83;18;20;19;15;2;48;14;19;26;1487;3700;No;67;2024;22/01/2025;288;Photos;Food;Friends only;Yes;No;2;Premium;108
819021;Instagram;24;Male;Brazil;Urban;Low;Student;High school;Single;No;84;77;Good;No;Rarely;18;8;249;111;62;8104;415;3;4;8;9;2;1050;5;5;203;71;66;15;16;32;16;4;44;17;22;40;3376;6500;No;68;2023;23/10/2025;210;Videos;Music;Friends only;Yes;Yes;4;Premium;105
451645;Instagram;35;Female;Germany;Rural;Low;Unemployed;Bachelors;Married;No;70;79;Average;No;Never;10;2;254;139;71;7990;500;2;2;15;91;0;1520;12;2;132;84;84;23;21;30;16;7;77;45;23;36;166;80;No;82;2018;04/07/2025;127;Stories;Travel;Public;Yes;No;2;Free;89
1018963;Instagram;50;Female;United States;Rural;Middle;Full-time employed;Masters;Divorced;No;39;60;Good;Former;Daily;37;7;243;138;93;8160;235;2;4;8;8;0;3360;18;7;259;150;189;48;33;47;31;7;146;44;42;69;1009;1332;No;25;2011;17/04/2025;187;Stories;Fashion;Private;Yes;No;1;Free;91
